datum	ellenfel	lott	kapott	tipus	helyszin	mpont	epont	mhelyezes	ehelyezes
1993.01.25	Italy	2	11		Hungary	1086	1958	31	13
2005.12.16	Norway	2	5	Janow Tournament	Poland	1656	1993	21	12
1943.01.31	Switzerland	2	4		Switzerland	1807	2189	11	4
1973.02.21	Romania	4	3		Hungary	1466	1705	18	11
2018.04.13	Japan	3	2		Hungary	1844	1633	18	23
2019.04.29	South Korea	1	5	World Championship Division IA	Kazakhstan	1737	1768	21	19
2006.02.10	Slovenia	3	5	Budapest Tournament	Hungary	1645	1921	21	15
1978.03.23	Romania	0	8	World Championship B	Yugoslavia	1561	1757	15	12
2015.04.25	Poland	2	1	World Championship Division IA	Poland	1864	1734	18	21
1963.01.06	Belgium	9	8		Belgium	1638	1147	15	22
1938.02.18	Canada	1	1	World Championship	Czechoslovakia	1809	2591	11	1
1970.02.21	Belgium	15	2	World Championship C	Romania	1530	908	16	26
1967.02.28	West Germany	3	3		Hungary	1508	1970	17	8
1987.03.29	Bulgaria	6	2	World Championship C	Denmark	1272	1145	21	22
1970.02.22	Denmark	6	2	World Championship C	Romania	1540	1173	16	22
1933.02.19	Switzerland	0	1	World Championship	Czechoslovakia	1701	1932	12	7
1996.08.28	Lithuania	9	4	Olympic Games qualifier	Latvia	1400	1371	25	26
1998.11.07	Poland	3	5	Dunaujvaros Tournament	Hungary	1475	1645	24	21
1983.01.21	Bulgaria	11	2	Magyar Nemzet Cup	Hungary	1448	1197	19	22
2020.11.07	Poland	3	2		Hungary	1781	1702	19	22
1965.03.06	Switzerland	1	3	World Championship B	Finland	1513	1781	18	11
1984.03.20	Switzerland	2	4	Thayer Tutt Trophy	France	1406	1740	20	13
1937.02.25	France	5	1	World Championship	Great Britain	1805	1657	11	15
1979.11.28	France	5	5		France	1453	1300	18	20
1940.02.11	Switzerland	1	11		Switzerland	1778	2157	13	4
2015.04.20	Kazakhstan	0	5	World Championship Division IA	Poland	1772	2013	19	15
2015.02.07	Poland	0	2	Euro Ice Hockey Challenge	Poland	1705	1801	22	19
1973.12.27	Austria	3	5	Pondus Cup	Denmark	1511	1526	16	15
1984.02.22	France	3	15		France	1413	1397	19	20
1976.12.07	France	5	2		Hungary	1483	1273	17	20
2007.02.10	Lithuania	1	2	Euro Ice Hockey Challenge	Poland	1672	1518	22	24
1974.11.25	Denmark	2	3		Denmark	1482	1090	16	23
1973.03.10	Netherlands	3	5	World Championship C	the Netherlands	1455	1207	18	22
2008.04.02	Romania	3	1		Hungary	1735	1276	21	27
2018.02.16	Kazakhstan	2	5	Euro Ice Hockey Challenge	Poland	1754	2031	20	15
1931.02.07	France	1	0	World Championship	Poland	1700	1794	12	9
